T,O,H,L,C,V,BV
2019-07-29,9553.47741494,9720.0,9400.2031,9553.56306941,189.68157983,1816719.066090382
2019-07-30,9518.14501218,9725.423,9403.07700003,9577.99292753,240.30727384,2297201.252513869
2019-07-31,9569.374,10110.81023593,9569.374,10087.49999997,284.06812637,2809799.9919088273
2019-08-01,10087.5,10458.62,9887.5,10383.21,269.76563333,2737472.0392316924
2019-08-02,10383.21000002,10657.0,10310.73206464,10521.97789953,323.69780049,3388953.9725464378
2019-08-03,10520.97789954,10872.87364306,10497.27855341,10849.6449709,226.31865791,2433157.5842295475
2019-08-04,10803.70077131,10808.12348238,10799.94747272,10808.12348238,0.13000329,1404.829162241669
2019-08-05,10938.89598231,11915.86,10938.89598231,11824.49048444,617.46996874,7174870.615568131
2019-08-06,11827.52754588,12285.0,11215.67,11496.0,682.81048018,8049874.85744587
2019-08-07,11483.44,12133.50502005,11390.102,11956.36000001,491.07339298,5795033.652462551
2019-08-08,12000.0,12064.106292,11514.6884878,11905.23000222,344.39169308,4061071.8974763993
2019-08-09,11996.05,12036.08000001,11694.13164965,11873.20406265,213.33975246,2527230.7944255006
2019-08-10,11875.05343266,11986.35126256,11267.49058961,11324.31925534,492.38400839,5665502.928536104
2019-08-11,11311.69732238,11590.28499998,11120.06403302,11541.17795921,166.32109534,1891709.1010485701
2019-08-12,11545.78,11560.06823348,11250.0,11393.47753338,152.58197767,1739974.0975180368
2019-08-13,11393.20000293,11454.54968511,10787.615,10901.00000009,357.6951823,3963614.953059199
2019-08-14,10901.00000008,10901.00000008,9935.11908581,10054.5284,577.07698189,5988386.064823427
2019-08-15,10064.34698189,10455.23,9528.2,10310.92,772.07795047,7732024.329109318
2019-08-16,10303.65790629,10544.1582186,9777.27272727,10345.39307999,491.12656056,4991688.121465195
2019-08-17,10355.09699906,10461.72525881,10002.00000001,10206.0750708,189.26396693,1940356.2751050373
2019-08-18,10222.29590002,10489.0,10072.76,10315.22601071,181.64516183,1867836.867571001
2019-08-19,10310.00000003,10912.2075897,10273.2,10895.1039163,296.4120342,3159696.9195980635
2019-08-20,10913.98589524,10935.95226431,10562.59515533,10744.17106498,236.39974534,2539973.511374764
2019-08-21,10759.02433701,10789.8898831,9876.64456941,10107.35999999,440.57010851,4512445.705951894
2019-08-22,10157.87000001,10227.46628202,9781.83,10110.98999999,263.39147948,2640206.751256363
2019-08-23,10110.98999998,10439.23539998,10034.91,10390.0,259.83433962,2669293.395234684
2019-08-24,10391.75,10411.98,9888.99,10135.32996714,261.21460339,2628059.8057588283
2019-08-25,10135.32996714,10138.86446861,10130.1210976,10130.1210976,0.44480932,4508.130448356086
2019-08-26,10142.94999997,10620.18774877,10142.94999997,10366.68,588.00416122,6114871.2136541
2019-08-27,10369.14159502,10378.1426273,10061.00000001,10190.99164738,226.89530661,2311175.202490153
2019-08-28,10180.91390317,10290.0,9600.0,9738.02929994,592.42610671,5852419.421682826
2019-08-29,9736.17,9738.02929995,9340.0,9476.57169327,425.23435783,4050419.505982348
2019-08-30,9498.41921823,9680.00000002,9363.75000001,9586.28093083,197.20091869,1883700.870690688
2019-08-31,9584.18660633,9675.00000001,9442.64,9591.87366642,89.33560448,854510.768370146
2019-09-01,9590.00000385,9594.5866812,9590.0,9590.00000003,0.00673733,64.61543714741812
2019-09-02,9735.29411684,10438.56247813,9725.92444339,10345.06000013,349.57971658,3534007.2998270486
2019-09-03,10345.9301918,10752.2,10270.59000002,10598.45785877,363.34858158,3817302.0718969177
2019-09-04,10605.90496778,10783.53999999,10369.88398217,10556.86784658,373.47428437,3939885.8209245806
2019-09-05,10558.68839511,10651.0,10466.82,10566.58979454,187.49057751,1976399.4177687266
2019-09-06,10564.68,10892.0,10202.00000001,10281.59000001,530.61510061,5603688.084871394
2019-09-07,10302.93000005,10549.99999997,10302.93000005,10466.90470265,134.86746787,1405905.7529854593
2019-09-08,10466.22815008,10470.12269663,10466.22815007,10470.12269663,0.12260053,1283.2508606375422
2019-09-09,10386.77094703,10515.48914867,10071.80004962,10305.00000001,417.38873483,4284880.878491611
2019-09-10,10305.00000001,10371.899,9948.28,10105.9286743,313.08966212,3168220.1458928874
2019-09-11,10100.23350428,10290.59999998,9872.6538,10153.59274235,297.08454168,2992898.0904277707
2019-09-12,10171.49622277,10438.06679998,10053.25000002,10398.86,228.80256864,2345910.1386745786
2019-09-13,10398.86,10435.10999989,10162.62986718,10304.26911802,139.13920374,1430119.459964232
2019-09-14,10345.16170905,10424.12976755,10230.0000001,10340.22669174,112.39061145,1160476.7606163614
2019-09-15,10339.80791334,10339.80791334,10336.99183942,10337.2918395,0.10479951,1083.3432206124742
2019-09-16,10300.00000003,10355.97,10079.35794099,10234.90544584,258.60300807,2642007.81885858
2019-09-17,10251.3892645,10265.95882018,10141.0,10189.38000578,185.34987796,1891053.69901364
2019-09-18,10189.38000577,10255.39999997,10085.72905678,10178.32542588,134.88379003,1372240.3720185
2019-09-19,10160.9102138,10339.26122168,9669.99,10249.03562978,662.73106264,6605928.62602277
2019-09-20,10258.0,10274.47205159,10076.0,10174.28271391,159.64078555,1624904.36005072
2019-09-21,10177.59255294,10178.52569201,9883.6051,9988.17143682,127.23076701,1274939.45131751
2019-09-22,9988.65310285,10089.54870144,9866.24812886,10031.497,114.34643198,1140751.92836765
2019-09-23,10038.79999998,10042.37679486,9633.1874,9688.933,296.37267932,2915086.11025369
2019-09-24,9697.88999207,9787.56074022,8000.0,8555.500813,1679.52271774,14738040.98682635
2019-09-25,8502.9,8729.61799999,8200.0,8433.70999998,612.85661995,5172206.44206083
2019-09-26,8436.36795102,8464.00176427,7750.0,8053.04,1004.61755392,8102198.24465822
2019-09-27,8063.4,8250.0,7863.05987061,8176.71522294,397.33597636,3188295.09455597
2019-09-28,8180.29759292,8312.808434,8012.49803851,8202.30521467,176.71428829,1438433.12565474
2019-09-29,8212.84,8223.06624966,8212.20963133,8219.76855684,0.04076007,334.95813041
2019-09-30,8047.5993034,8337.71781281,7712.0,8283.91408051,407.39064932,3262750.13395008
2019-10-01,8289.93943074,8490.15000003,8172.73153355,8284.99889416,318.89343794,2659385.28118117
2019-10-02,8305.88050168,8364.31908978,8155.10482179,8357.82936348,124.66871725,1027415.94511346
2019-10-03,8358.80999999,8397.77069599,8068.84573459,8217.99532896,244.95297451,2008108.83964692
2019-10-04,8224.13528904,8226.10314763,8007.87276961,8137.06559588,245.01429713,1991157.60193577
2019-10-05,8137.06559588,8200.0,8010.0,8126.25723309,121.96583798,987389.30065545
2019-10-06,8130.4601811,8130.4601811,8130.4601811,8130.4601811,0.05,406.52300905
2019-10-07,7861.12486416,8291.44,7770.0,8189.97838208,287.31882018,2316112.78609607
2019-10-08,8192.24606165,8317.97,8101.49612405,8195.60232816,113.19994077,927495.13413077
2019-10-09,8173.77970208,8665.0,8126.0,8552.43557592,270.83701999,2291789.780183
2019-10-10,8562.96000005,8646.12999993,8438.40299463,8557.45138963,188.66620442,1609349.6618013
2019-10-11,8560.06419354,8765.43,8220.00000001,8255.07130502,277.53494423,2334799.68984053
2019-10-12,8259.27,8391.33400002,8254.88324656,8300.00000001,50.580657,420939.86598996
2019-10-13,8300.0,8445.60627981,8161.36000001,8286.14413592,79.13441242,658275.27472209
2019-10-14,8274.93162463,8372.0194688,8210.00000002,8349.19999995,98.72633837,819537.58262048
2019-10-15,8348.99035511,8402.78000696,8116.15969779,8164.1345,157.99947594,1298320.24020901
2019-10-16,8155.76410193,8184.59999995,7910.0,7938.97515334,153.37702513,1232862.72408074
2019-10-17,7993.832,8114.65329998,7930.98029964,8074.24868411,95.01766335,762910.18771234
2019-10-18,8077.88016506,8108.30989702,7832.401,8059.92881847,391.0872933,3133328.38008268
2019-10-19,7950.17111975,8079.18859355,7880.99801941,7942.6195622,84.50730393,673522.05801239
2019-10-20,7942.62,8290.33730558,7872.61383248,8212.44944569,128.83399643,1038486.79127594
2019-10-21,8218.70929036,8330.76552298,8142.86,8204.30073956,164.92918311,1353198.9025832
2019-10-22,8196.15629164,8288.15151694,8000.91,8030.47462908,95.88154055,784170.12642777
2019-10-23,8028.0,8049.51339443,7305.39384345,7449.61393523,414.70264295,3152816.83257506
2019-10-24,7456.95759402,7503.31963231,7340.23260206,7424.8,121.30125765,901055.2877014
2019-10-25,7424.83170323,8788.52962775,7381.63673193,8656.38841427,563.33143615,4639976.66887386
2019-10-26,8660.73747618,10362.99999999,8639.77432375,9226.97480549,779.69369227,7378303.49998857
2019-10-27,9229.28643422,9273.33,9229.28643422,9250.24953486,2.03356514,18791.30281044
2019-10-28,9533.20692813,9891.44,9191.537736,9214.74828053,245.3652923,2313437.17198308
2019-10-29,9213.82756121,9530.06904541,9016.32529871,9395.63328495,159.94452209,1496815.44009103
2019-10-30,9392.0,9404.36539999,9001.0,9158.92780626,217.71613166,2006014.41783782
2019-10-31,9159.74092936,9399.46,8904.0,9141.94265875,126.85208227,1157621.82897696
2019-11-01,9145.61256042,9275.11193213,9052.37451995,9233.20447627,63.95490624,586367.69529007
2019-11-02,9235.16021259,9362.07934422,9194.15726529,9284.04770119,61.4350895,570927.75194775
2019-11-03,9287.09643474,9352.31526452,9081.55446307,9197.73671622,162.44537633,1490656.09019624
2019-11-04,9204.26287659,9514.48373496,9127.95204208,9398.23869366,158.38455423,1482204.85660474
2019-11-05,9398.23869365,9453.92346148,9180.20000001,9305.0,93.82030374,874054.18721523
2019-11-06,9305.93976913,9436.48381708,9270.28,9343.15713243,61.92270463,578524.09090186
2019-11-07,9336.52941179,9360.0,9106.49823181,9214.33060111,131.54240638,1209998.26780811
2019-11-08,9202.0,9254.6561192,8700.0,8777.00000003,239.19648759,2132932.80772262
2019-11-09,8777.00000001,8875.25522507,8740.55680347,8820.0071572,50.9516939,448325.92506515
2019-11-10,8814.94135366,9130.23032242,8750.604329,9039.63837827,111.80971879,995070.7476132
2019-11-11,9054.63537142,9072.51005192,8621.0,8737.27000763,115.15252074,1009494.23390367
2019-11-12,8733.04715661,8873.99999999,8584.74192306,8810.47236,175.77835799,1537601.859202
2019-11-13,8811.21052631,8828.47368421,8718.96538258,8776.96849666,95.96717598,840625.25712309
2019-11-14,8776.68421052,8798.09669257,8591.63311668,8657.90783237,82.80634663,717355.31240694
2019-11-15,8655.46284427,8804.4503,8395.45,8463.75209303,139.457573,1195200.97555962
2019-11-16,8462.68175135,8526.92795789,8441.43710174,8473.84429025,30.29027992,256981.74667163
2019-11-17,8494.14775414,8625.0,8372.71020736,8504.69755242,48.91997992,416736.57364023
2019-11-18,8497.23026562,8497.23026562,8050.0,8201.33390214,115.18610462,958237.58519801
2019-11-19,8183.2089313,8210.9154127,8015.47662005,8130.83146387,105.00819412,853169.88363505
2019-11-20,8117.37542614,8243.58474856,8046.30492685,8099.37642363,76.90237034,625095.14628172
2019-11-21,8105.57091147,8130.61392976,7464.01005673,7627.58592493,309.75381584,2391240.23911183
